Date,Item,Quantity,Amount,Status
2026-01-26 15:46:45.199833,CARE BABY L MEGA 64,1.0,Rs 1760.00,#SALE-2246
2026-01-26 15:46:01.048315,CARE BABY L MEGA 64,1.0,Rs 1760.00,#SALE-2245
2026-01-26 15:44:33.562810,NICE TECH REGULATOR 83,1.0,Rs 300.00,#2244
2026-01-26 15:40:24.950124,F9 ROD ORIGINAL,1.0,Rs 950.00,#2243
2026-01-26 15:39:09.136415,CARE BABY L MEGA 64,1.0,Rs 1760.00,#SALE-2242
2026-01-26 15:34:44.633692,MALTA JUICER FULL,1.0,Rs 5300.00,#2241
2026-01-26 15:31:57.964405,PROFESSION TRIMMER VINTAGE T9,1.0,Rs 900.00,#2240
2026-01-26 15:31:57.964405,RUILANG BENERGENCY LIGHT RL-127,1.0,Rs 700.00,#2240
2026-01-26 15:16:47.516631,FAN BLADE DC LIGHT,1.0,Rs 450.00,#2239
2026-01-26 15:09:38.458214,UMBRELLA STEEL HANDLE,1.0,Rs 1250.00,#2238
2026-01-26 15:07:05.839523,NS313 BATTERY NS-645,1.0,Rs 950.00,#2237
2026-01-26 14:46:10.282708,MNT POWER SCALE 500G,1.0,Rs 980.00,#2236
2026-01-26 14:40:56.551095,PARAMOUNT LED BULB E27 12W,2.0,Rs 260.00,#2235
2026-01-26 14:40:56.551095,BADRI BULB 5W E-27,1.0,Rs 250.00,#2235
2026-01-26 14:24:20.472143,ALISHA SCRUB 250ML,1.0,Rs 300.00,#2234
2026-01-26 14:24:20.472143,AFTER SHAVE S,1.0,Rs 100.00,#2234
2026-01-26 14:15:44.349879,EMERGENCY BULB 5W 005,1.0,Rs 1450.00,#2233
2026-01-26 14:13:05.326367,LED CHARGING BULB FAE-3920,3.0,Rs 2100.00,#2232
2026-01-26 14:12:11.367454,UMBRELLA STEEL HANDLE,1.0,Rs 1250.00,#2231
2026-01-26 13:50:39.760850,HOPES RECHARGABLE LIGHT H412,1.0,Rs 650.00,#2230
2026-01-26 13:47:05.668916,E STAR ORIENT,1.0,Rs 200.00,#2229
2026-01-26 13:39:07.859332,REMINGTON HAIR DRYER 3001 2 IN 1,1.0,Rs 2000.00,#2228
2026-01-26 13:38:12.994293,REMINGTION HAIR DRYER RE-7860,1.0,Rs 3200.00,#2227
2026-01-26 13:36:07.400476,REMINGTION HAIR DRYER RE-7860,1.0,Rs 3200.00,#2226
